Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.000000,1159.052490,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.010000,1108.363281,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.020000,1179.868530,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.030000,1126.850220,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.040000,1099.476074,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.050000,1111.647461,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.060000,1128.848267,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.070000,1116.331421,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.080000,1117.114014,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.090000,1186.160767,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.100000,1141.058105,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.200000,1408.758667,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.300000,2095.795654,0.144880,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.400000,1658.703735,0.137745,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.500000,1008.946960,0.149052,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.600000,648.924744,0.154346,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.700000,673.184021,0.149946,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.800000,442.513489,0.165261,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.900000,408.368744,0.173377,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.000000,1564.582886,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.010000,1431.641235,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.020000,1517.934204,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.030000,1434.786621,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.040000,1397.758301,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.050000,1455.977661,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.060000,1364.371582,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.070000,1356.648071,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.080000,1354.319824,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.090000,1379.814575,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.100000,1396.522949,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.200000,1395.468750,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.300000,1289.910156,0.157570,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.400000,1130.725708,0.143431,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.500000,1067.744751,0.165305,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.600000,961.277527,0.181558,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.700000,822.153381,0.174390,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.800000,526.946716,0.169902,DiversiTree
gen(50),0.010000,0.010000,0.000000,0,50,51,0.010000,0.900000,459.770447,0.174128,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.000000,1561.944824,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.010000,1435.305908,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.020000,1391.798096,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.030000,1422.614502,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.040000,1408.381470,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.050000,1392.300293,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.060000,1398.881348,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.070000,1435.816772,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.080000,1445.587891,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.090000,1422.403320,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.100000,1417.247437,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.200000,1381.093262,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.300000,1330.900269,0.183584,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.400000,1484.708252,0.184509,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.500000,1198.320435,0.180621,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.600000,1058.184082,0.183311,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.700000,868.356384,0.181394,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.800000,498.220642,0.169902,DiversiTree
gen(50),0.010000,0.020000,0.000000,0,50,51,0.010000,0.900000,442.598267,0.174128,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.000000,1439.057373,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.010000,1491.793701,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.020000,1814.902222,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.030000,1591.166016,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.040000,1441.964600,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.050000,1425.910034,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.060000,1523.231567,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.070000,1414.655640,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.080000,1445.645508,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.090000,1472.213501,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.100000,1435.021973,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.200000,1476.079956,0.182756,DiversiTree
gen(50),0.010000,0.030000,0.000000,0,50,51,0.010000,0.300000,1398.203125,0.182756,DiversiTreeProblem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.000000,597.105286,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.010000,563.925171,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.020000,550.743591,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.030000,554.405029,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.040000,553.931213,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.050000,547.940552,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.060000,578.608154,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.070000,543.805237,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.080000,554.937256,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.090000,648.544434,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.100000,786.997253,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.200000,1003.801392,0.159292,DiversiTree
gen(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.300000,1166.104736,0.159292,DiversiTree
