Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
fiber(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.000000,2181.327148,0.018352,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,93,0.010000,0.010000,1221.005005,0.009059,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,93,0.010000,0.020000,1168.637207,0.009059,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.030000,830.926758,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.040000,845.609436,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.050000,859.230042,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.060000,859.109497,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.070000,843.477478,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.080000,839.665527,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.090000,876.439087,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.100000,829.666870,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.200000,833.838684,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.300000,782.016418,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.400000,708.152100,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.500000,695.712524,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.600000,699.845520,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.700000,701.578735,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.800000,677.037537,0.004887,DiversiTree
fiber(50),0.010000,0.000000,0.000000,0,50,83,0.010000,0.900000,767.536865,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.000000,2163.642090,0.018425,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,93,0.010000,0.010000,1208.507690,0.009059,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,93,0.010000,0.020000,1195.044678,0.009059,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.030000,867.126343,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.040000,826.278442,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.050000,831.457275,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.060000,834.827637,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.070000,844.584290,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.080000,840.489929,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.090000,842.473145,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.100000,880.867004,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.200000,866.371033,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.300000,785.116394,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.400000,710.584961,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.500000,710.503479,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.600000,733.081665,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.700000,704.363953,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.800000,718.707214,0.004887,DiversiTree
fiber(50),0.010000,0.010000,0.000000,0,50,83,0.010000,0.900000,711.870239,0.004887,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,50,0.010000,0.000000,2235.607666,0.018425,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,93,0.010000,0.010000,1236.518188,0.009059,DiversiTree
fiber(50),0.010000,0.020000,0.000000,0,50,93,0.010000,0.020000,1235.807251,0.009059,DiversiTree
