Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
bell5(50),0.010000,0.000000,0.000000,0,50,51,0.010000,0.000000,1896.254272,0.107503,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.010000,1924.152954,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.020000,1873.660278,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.030000,2060.637939,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.040000,2142.211182,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.050000,1956.285522,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.060000,1978.625977,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.070000,2011.384399,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.080000,2001.161011,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.090000,1997.002808,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.100000,1987.802612,0.107020,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.200000,2181.457764,0.081877,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.300000,2061.809326,0.100108,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.400000,2155.676758,0.092244,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.500000,1593.768555,0.095646,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.600000,1532.472900,0.097469,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.700000,1488.606323,0.092244,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.800000,1468.317993,0.092244,DiversiTree
bell5(50),0.010000,0.000000,0.000000,0,50,50,0.010000,0.900000,1327.065552,0.092244,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.000000,2998.755859,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.010000,3054.719238,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.020000,2963.229004,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.030000,3014.442871,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.040000,3041.515869,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.050000,3329.197510,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.060000,3123.755859,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.070000,3046.958984,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.080000,3124.636719,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.090000,3116.490723,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.100000,3085.639893,0.116843,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.200000,2078.849609,0.098013,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.300000,2272.802002,0.095482,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.400000,2197.477051,0.092244,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.500000,1947.744141,0.100108,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.600000,1573.076416,0.092244,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.700000,1548.172852,0.092244,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.800000,1601.388794,0.092244,DiversiTree
bell5(50),0.010000,0.010000,0.000000,0,50,50,0.010000,0.900000,1344.737305,0.092244,DiversiTree
bell5(50),0.010000,0.020000,0.000000,0,50,50,0.010000,0.000000,3050.632568,0.122993,DiversiTree
bell5(50),0.010000,0.020000,0.000000,0,50,50,0.010000,0.010000,2864.694336,0.122993,DiversiTree
bell5(50),0.010000,0.020000,0.000000,0,50,50,0.010000,0.020000,2842.819580,0.122993,DiversiTree
