Problem,NumSols,Time(ms)
exp-1-500-5-5_SCIP_bfs_percNO_0.030000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,8104.039551
exp-1-500-5-5_SCIP_bfs_percNO_0.030000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,11529.972656
exp-1-500-5-5_SCIP_bfs_percNO_0.030000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,24070.064453
exp-1-500-5-5_SCIP_bfs_percNO_0.030000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,43526.953125
exp-1-500-5-5_SCIP_bfs_percNO_0.030000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,236105.406250
sp150x300d_SCIP_bfs_percNO_0.030000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,234029.250000
sp150x300d_SCIP_bfs_percNO_0.030000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,486631.562500
sp150x300d_SCIP_bfs_percNO_0.030000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,486421.812500
sp150x300d_SCIP_bfs_percNO_0.030000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,486035.062500
sp150x300d_SCIP_bfs_percNO_0.030000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,533591.125000
bppc8-02_SCIP_bfs_percNO_0.030000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,329.572662
bppc8-02_SCIP_bfs_percNO_0.030000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,702.125305
bppc8-02_SCIP_bfs_percNO_0.030000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,1044.853638
bppc8-02_SCIP_bfs_percNO_0.030000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,1492.943970
bppc8-02_SCIP_bfs_percNO_0.030000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,3332.551270
neos-1425699_SCIP_bfs_percNO_0.030000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,116.143913
neos-1425699_SCIP_bfs_percNO_0.030000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,318.530426
neos-1425699_SCIP_bfs_percNO_0.030000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,617.308777
neos-1425699_SCIP_bfs_percNO_0.030000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,1289.593018
neos-1425699_SCIP_bfs_percNO_0.030000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,5157.619141
23588_SCIP_bfs_percNO_0.030000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,7958.186523
23588_SCIP_bfs_percNO_0.030000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,14409.933594
23588_SCIP_bfs_percNO_0.030000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,15007.712891
23588_SCIP_bfs_percNO_0.030000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,19781.810547
23588_SCIP_bfs_percNO_0.030000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,51841.738281
