Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType
gen(100),0.01,0,0,0,100,101,0.01,0,1230.490601,0.121815,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.01,1238.315796,0.121815,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.02,1244.327026,0.121815,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.03,1533.177979,0.171824,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.04,1575.463745,0.171824,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.05,1401.227539,0.151692,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.06,1471.18396,0.151692,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.07,1458.21167,0.151692,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.08,1443.547241,0.151692,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.09,1441.016846,0.151692,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.1,1555.141846,0.151692,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.2,1486.513672,0.157984,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.3,1287.428589,0.141749,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.4,1327.71228,0.140542,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.5,1261.22583,0.156087,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.6,1054.675537,0.14851,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.7,994.271545,0.152269,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.8,875.884155,0.157151,DiversiTree
gen(100),0.01,0,0,0,100,101,0.01,0.9,751.178528,0.156882,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0,1507.374878,0.138845,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.01,1508.081055,0.138845,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.02,1520.360962,0.138845,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.03,1579.415894,0.159541,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.04,1529.385498,0.159541,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.05,1310.319458,0.150655,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.06,1358.403687,0.150655,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.07,1422.589478,0.150655,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.08,1378.507935,0.150655,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.09,1315.885864,0.150655,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.1,1350.780151,0.150655,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.2,1382.775146,0.154489,DiversiTree
gen(100),0.01,0.01,0,0,100,101,0.01,0.3,1453.69812,0.154489,DiversiTree
