Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0,1370.304932,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.01,1334.311523,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.02,1243.984497,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.03,1254.758545,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.04,1209.331543,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.05,1229.587524,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.06,1232.46875,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.07,1238.329956,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.08,1254.934204,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.09,1271.230225,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.1,1329.201172,0.121815,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.2,1584.648682,0.12047,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.3,1407.513428,0.157948,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.4,1582.095581,0.162968,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.5,1326.038696,0.152417,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.6,1076.559082,0.162066,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.7,1030.702148,0.163831,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.8,827.796753,0.165423,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0,0,0,100,101,0.01,0.9,578.073608,0.162214,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0,1480.081543,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.01,1549.817993,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.02,1493.731689,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.03,1464.636719,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.04,1517.841309,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.05,1485.257446,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.06,1494.518066,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.07,1609.732788,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.08,1595.602539,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.09,1516.452515,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.1,1512.086182,0.138845,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.2,1591.439575,0.135506,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.3,1393.127197,0.176279,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.4,1329.55249,0.15541,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.5,1325.381714,0.160242,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.6,1274.736084,0.169788,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.7,974.993896,0.163848,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.8,877.617432,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.01,0,0,100,101,0.01,0.9,585.721436,0.162214,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0,1614.150391,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.01,1629.403198,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.02,1613.763916,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.03,1603.265869,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.04,1735.764526,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.05,1638.560913,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.06,1559.739868,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.07,1586.540649,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.08,1564.84436,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.09,1581.155884,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.1,1594.741211,0.149046,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.2,1768.647583,0.150644,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.3,1527.154663,0.175383,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.4,1415.410034,0.161114,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.5,1387.585938,0.171337,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.6,1542.774292,0.173682,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.7,1024.980591,0.163848,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.8,890.068115,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.02,0,0,100,101,0.01,0.9,704.025391,0.161944,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0,1836.308228,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.01,1708.830078,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.02,1599.310425,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.03,1557.801025,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.04,1559.320923,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.05,2852.30542,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.06,1976.915405,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.07,1794.93457,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.08,1669.606689,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.09,1636.551147,0.149742,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.03,0,0,100,101,0.01,0.1,1600.470703,0.149742,DiversiTree,,,,,,,,,,,,
